rank=6: alpha=8.00e+00, train loss: 1.48e-11 | test loss: 1.65e+00 | time = 00:00:50
rank=8: alpha=3.20e+01, train loss: 6.92e-11 | test loss: 2.28e+00 | time = 00:00:51
rank=7: alpha=1.60e+01, train loss: 2.47e-11 | test loss: 2.01e+00 | time = 00:00:49
rank=4: alpha=2.00e+00, train loss: 2.46e-11 | test loss: 7.66e-01 | time = 00:00:55
rank=3: alpha=1.00e+00, train loss: 8.99e-11 | test loss: 3.83e-01 | time = 00:00:55
rank=2: alpha=5.00e-01, train loss: 2.78e-10 | test loss: 1.53e-01 | time = 00:00:55
rank=1: alpha=2.50e-01, train loss: 3.43e-10 | test loss: 5.16e-02 | time = 00:00:55
rank=0: alpha=3.12e-02, train loss: 4.97e-04 | test loss: 8.59e-02 | time = 00:00:55
rank=5: alpha=4.00e+00, train loss: 1.37e-11 | test loss: 1.22e+00 | time = 00:00:48
total_time=00:01:01
