rank=6: alpha=8.00e+00, train loss: 1.71e-02 | test loss: 1.86e+00 | time = 00:00:47
rank=0: alpha=3.12e-02, train loss: 6.95e-01 | test loss: 2.32e+00 | time = 00:00:54
rank=8: alpha=3.20e+01, train loss: 5.70e-02 | test loss: 2.43e+00 | time = 00:00:49
rank=7: alpha=1.60e+01, train loss: 3.20e-02 | test loss: 2.18e+00 | time = 00:00:48
rank=1: alpha=2.50e-01, train loss: 4.67e-04 | test loss: 1.94e-01 | time = 00:00:54
rank=4: alpha=2.00e+00, train loss: 4.65e-03 | test loss: 1.08e+00 | time = 00:00:54
rank=3: alpha=1.00e+00, train loss: 2.33e-03 | test loss: 7.07e-01 | time = 00:00:54
rank=2: alpha=5.00e-01, train loss: 1.10e-03 | test loss: 4.03e-01 | time = 00:00:54
rank=5: alpha=4.00e+00, train loss: 9.02e-03 | test loss: 1.48e+00 | time = 00:00:48
total_time=00:01:07
