rank=8: alpha=3.20e+01, train loss: 1.26e+00 | test loss: 3.34e+00 | time = 00:00:47
rank=3: alpha=1.00e+00, train loss: 5.92e-02 | test loss: 1.44e+00 | time = 00:00:53
rank=5: alpha=4.00e+00, train loss: 3.63e-01 | test loss: 2.44e+00 | time = 00:00:49
rank=2: alpha=5.00e-01, train loss: 2.55e-02 | test loss: 1.03e+00 | time = 00:00:54
rank=1: alpha=2.50e-01, train loss: 1.07e-02 | test loss: 6.67e-01 | time = 00:00:55
rank=0: alpha=3.12e-02, train loss: 1.00e+00 | test loss: 2.31e+00 | time = 00:00:55
rank=4: alpha=2.00e+00, train loss: 1.38e-01 | test loss: 1.90e+00 | time = 00:00:55
rank=6: alpha=8.00e+00, train loss: 8.01e-01 | test loss: 2.96e+00 | time = 00:00:49
rank=7: alpha=1.60e+01, train loss: 1.11e+00 | test loss: 3.22e+00 | time = 00:00:49
total_time=00:01:02
