rank=5: alpha=4.00e+00, train loss: 5.45e-05 | test loss: 1.24e+00 | time = 00:00:49
rank=3: alpha=1.00e+00, train loss: 4.47e-05 | test loss: 4.32e-01 | time = 00:00:52
rank=8: alpha=3.20e+01, train loss: 1.10e-04 | test loss: 2.28e+00 | time = 00:00:49
rank=7: alpha=1.60e+01, train loss: 7.30e-05 | test loss: 2.01e+00 | time = 00:00:49
rank=6: alpha=8.00e+00, train loss: 5.71e-05 | test loss: 1.66e+00 | time = 00:00:50
rank=2: alpha=5.00e-01, train loss: 2.74e-05 | test loss: 1.92e-01 | time = 00:00:52
rank=1: alpha=2.50e-01, train loss: 1.28e-05 | test loss: 7.21e-02 | time = 00:00:52
rank=4: alpha=2.00e+00, train loss: 5.44e-05 | test loss: 8.04e-01 | time = 00:00:51
rank=0: alpha=3.12e-02, train loss: 1.78e-01 | test loss: 1.82e+00 | time = 00:00:52
total_time=00:00:55
